
[ERR] Failed to insert documents to DB (1854568, 1854653): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1854826, 1854911): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1854912, 1854997): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1854998, 1855083): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1855084, 1855169): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1855170, 1855255): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1855256, 1855341): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1855514, 1855599): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1855772, 1855857): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1855858, 1855943): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1855944, 1856029): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1856030, 1856115): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2025622, 2025707): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2026052, 2026137): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2026482, 2026567): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2026568, 2026653): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2027084, 2027169): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2027170, 2027255): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2027256, 2027341): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2027858, 2027943): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2027944, 2028029): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2028030, 2028115): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2028116, 2028201): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2028202, 2028287): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2028546, 2028631): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2028632, 2028717): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2028718, 2028803): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2028976, 2029061): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2029492, 2029577): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2029406, 2029491): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2029578, 2029663): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2029750, 2029835): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2029922, 2030007): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2030008, 2030093): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
